id;source;target;label;geom;maj_minor;src
155;87;669;TUANYANG Henan (湍阳驿) - LVYANYI Hubei (吕堰驿);{"type":"MultiLineString","coordinates":[[[112.358428955078,32.5248718261719],[112.228928,32.265553]]]};1;MDYZK
156;81;85;HANJIANGYI Hubei (汉江驿) - YANCHENG Hubei (鄢城驿);{"type":"MultiLineString","coordinates":[[[112.155862,32.0202830000001],[112.260131835938,31.7107009887696]]]};1;
157;85;671;YANCHENG Hubei (鄢城驿) - LIYANGYI Hubei (丽阳驿);{"type":"MultiLineString","coordinates":[[[112.260131835938,31.7107009887696],[112.318733,31.4335310000001]]]};1;MDYZK
158;82;672;JINGNAN Hubei (荆南驿) - JIANYANGYI Hubei (建阳驿);{"type":"MultiLineString","coordinates":[[[112.180946,30.6917460000001],[112.190773010254,30.3504447937012]]]};1;
159;82;674;JINGNAN Hubei (荆南驿) - BAISHAYI Hubei (白沙驿);{"type":"MultiLineString","coordinates":[[[112.190773010254,30.3504447937012],[112.270240343068,30.1919207076714]]]};1;MDYZK
160;76;80;LANJIANGYI Hunan (兰江驿) - CHANLING Hubei (孱陵驿);{"type":"MultiLineString","coordinates":[[[112.078102111816,29.9145011901855],[111.756988525391,29.6401519775391]]]};1;
161;74;675;DALONG Hunan (大龙驿) - DALONGYI Hunan (大龙驿);{"type":"MultiLineString","coordinates":[[[111.752823,29.2116179999997],[111.691299438477,29.0348072052003]]]};1;MDYZK
162;70;74;TAOYUAN Hunan (桃源驿) - DALONG Hunan (大龙驿);{"type":"MultiLineString","coordinates":[[[111.691299438477,29.0348072052002],[111.477767944336,28.9015979766846]]]};1;
163;63;965;YIRONGYI Hunan (怡容驿) - CHENYANGYI Hunan (辰阳驿);{"type":"MultiLineString","coordinates":[[[110.396965026855,28.4581909179687],[110.39209,28.440548]]]};1;
164;962;963;HUAIHUAYI Hunan (怀化驿) - SHANTANGYI Hunan (山塘驿);{"type":"MultiLineString","coordinates":[[[110.214518,27.8893199999998],[110.112259,27.620098]]]};1;
165;51;53;PINGXI Guizhou (平溪驿) - HUANGZHOU Hunan (晃州驿);{"type":"MultiLineString","coordinates":[[[109.198509216309,27.3817043304443],[108.911544799805,27.2359313964844]]]};1;
